match_id,team,score,detailed_score
ODI no. 3614,Scotland,210,"210 all out (50 Overs, RR: 4.2)"
ODI no. 3614,Afghanistan,211/9 ,"211/9 (49.3 Overs, RR: 4.26)"
ODI no. 3618,United Arab Emirates,102,"102 all out (31.3 Overs, RR: 3.23)"
ODI no. 3618,India,104/1 ,"104/1 (18.5 Overs, RR: 5.52)"
ODI no. 3620,Pakistan,235/7,"235/7 (50 Overs, RR: 4.7)"
ODI no. 3620,Zimbabwe,215 ,"215 all out (49.4 Overs, RR: 4.32)"
ODI no. 3621,South Africa,411/4,"411/4 (50 Overs, RR: 8.22)"
ODI no. 3621,Ireland,210 ,"210 all out (45 Overs, RR: 4.66)"
ODI no. 3622,Pakistan,339/6,"339/6 (50 Overs, RR: 6.78)"
ODI no. 3622,United Arab Emirates,210/8 ,"210/8 (50 Overs, RR: 4.2)"
ODI no. 3624,Scotland,318/8,"318/8 (50 Overs, RR: 6.36)"
ODI no. 3624,Bangladesh,322/4 ,"322/4 (48.1 Overs, RR: 6.68)"
ODI no. 3631,Ireland,259,"259 all out (49 Overs, RR: 5.28)"
ODI no. 3631,India,260/2 ,"260/2 (36.5 Overs, RR: 7.05)"
ODI no. 3632,Sri Lanka,363/9,"363/9 (50 Overs, RR: 7.26)"
ODI no. 3632,Scotland,215 ,"215 all out (43.1 Overs, RR: 4.98)"
ODI no. 3633,South Africa,341/6,"341/6 (50 Overs, RR: 6.82)"
ODI no. 3633,United Arab Emirates,195 ,"195 all out (47.3 Overs, RR: 4.1)"
ODI no. 3636,Zimbabwe,287,"287 all out (48.5 Overs, RR: 5.87)"
ODI no. 3636,India,288/4 ,"288/4 (48.4 Overs, RR: 5.91)"
ODI no. 3637,Scotland,130,"130 all out (25.4 Overs, RR: 5.06)"
ODI no. 3637,Australia,133/3 ,"133/3 (15.2 Overs, RR: 8.67)"
ODI no. 3638,United Arab Emirates,175,"175 all out (47.4 Overs, RR: 3.67)"
ODI no. 3638,West Indies,176/4 ,"176/4 (30.3 Overs, RR: 5.77)"
ODI no. 3639,Ireland,237,"237 all out (50 Overs, RR: 4.74)"
ODI no. 3639,Pakistan,241/3 ,"241/3 (46.1 Overs, RR: 5.22)"
ODI no. 3650,Ireland,,
ODI no. 3650,England,,
