match_id,start_date,team1,team2,ground,result
3610,2015-02-22,SouthAfrica,India,Melbourne,India
3611,2015-02-23,England,Scotland,Christchurch,England
3612,2015-02-24,WestIndies,Zimbabwe,Canberra,WestIndies
3614,2015-02-26,Afghanistan,Scotland,Dunedin,Afghanistan
3615,2015-02-26,SriLanka,Bangladesh,Melbourne,SriLanka
3616,2015-02-27,WestIndies,South Africa,Sydney,South Africa
3617,2015-02-28,Newzealad,Australia,Auckland,Newzealad
3618,2015-02-28,India,U.A.E.,Perth,India
3619,2015-03-01,SriLanka,England,Wellington,SriLanka
3620,2015-03-01,Pakistan,Zimbabwe,Brisbane,Pakistan
3621,2015-03-03,SouthAfrica,Ireland,Canberra,SouthAfrica
3622,2015-03-04,Pakistan,U.A.E.,Napier,Pakistan
3623,2015-03-04,Australia,Afghanistan,Perth,Australia
3624,2015-03-05,Bangladesh,Scotland,Nelson,Bangladesh
3625,2015-03-06,WestIndies,India,Perth,India
3626,2015-03-07,SouthAfrica,Pakistan,Auckland,Pakistan
3628,2015-03-08,Newzealad,Afghanistan,Napier,Newzealad
3629,2015-03-08,SriLanka,Australia,Sydney,Australia
3630,2015-03-09,England,Bangladesh,Adelaide,Bangladesh
3631,2015-03-10,India,Ireland,Hamilton,India
3632,2015-03-11,SriLanka,Scotland,Hobart,SriLanka
3633,2015-03-12,SouthAfrica,U.A.E.,Wellington,SouthAfrica
3634,2015-03-13,Newzealad,Bangladesh,Hamilton,Newzealad
3635,2015-03-13,England,Afghanistan,Sydney,England
3636,2015-03-14,India,Zimbabwe,Auckland,India
3637,2015-03-14,Australia,Scotland,Hobart,Australia
3638,2015-03-15,WestIndies,U.A.E.,Napier,WestIndies
3639,2015-03-15,Pakistan,Ireland,Adelaide,Pakistan
3640,2015-03-18,SriLanka,South Africa,Sydney,South Africa
3641,2015-03-19,India,Bangladesh,Melbourne,India
3642,2015-03-20,Pakistan,Australia,Adelaide,Australia
3643,2015-03-21,WestIndies,New Zealand,Wellington,New Zealand
3644,2015-03-24,SouthAfrica,New Zealand,Auckland,New Zealand
3645,2015-03-26,India,Australia,Sydney,Australia
3646,2015-03-29,Newzealad,Australia,Melbourne,Australia
3647,2015-04-17,Pakistan,Bangladesh,Dhaka,Bangladesh
3648,2015-04-19,Pakistan,Bangladesh,Dhaka,Bangladesh
3649,2015-04-22,Pakistan,Bangladesh,Dhaka,Bangladesh
3650,2015-05-08,England,Ireland,Dublin (Malahide),n/r
3651,2015-05-26,Pakistan,Zimbabwe,Lahore,Pakistan
3652,2015-05-29,Pakistan,Zimbabwe,Lahore,Pakistan
3653,2015-05-31,Pakistan,Zimbabwe,Lahore,n/r
